id,title,author,average_rating,isbn
29,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926
30,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,1557344493
31,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505
32,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240
33,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271
34,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808
35,Changeling (Changeling  #1),Delia Sherman,3.6,670059676
36,The Changeling Sea,Patricia A. McKillip,4.06,141312629
37,The Changeling,Zilpha Keatley Snyder,4.17,595321801
38,The Changeling,Kate Horsley,3.55,1590301943
39,The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979
40,The Known World,Edward P. Jones,3.83,61159174
41,The Known World,Edward P. Jones/Kevin R. Free,3.83,6076273
42,The Known World,Edward P. Jones,3.83,60749911
43,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745
44,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106
45,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,374517193
46,Uncommon Carriers,John McPhee,3.95,374280398
47,Heirs of General Practice,John McPhee,4.17,374519749
48,The Control of Nature,John McPhee,4.24,374522596
49,Annals of the Former World,John McPhee,4.34,374518734
50,Coming Into the Country,John McPhee,4.22,374522871
51,La Place de la Concorde Suisse,John McPhee,3.92,374519323
52,Giving Good Weight,John McPhee,4.23,374516006
53,Rising from the Plains,John McPhee,4.23,374520658
54,The Heidi Chronicles,Wendy Wasserstein,3.75,822205106
55,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,679734996
56,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231
57,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740
58,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,800793617
59,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867
60,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,753454947
61,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,871209993
62,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873
63,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,761129588
64,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,972016414
65,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632
66,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,441294677
67,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,441102670
68,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,441172695
69,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,765306476
70,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,399128980
71,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,765353709
72,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,441328008
73,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,618212906
74,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,34541005
75,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546
76,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,785260056
77,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,471780936
78,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,325001537
79,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,6076287
80,eBay for Dummies,Marsha Collier,3.5,470045299
81,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,72262788
82,Starting an eBay Business for Dummies,Marsha Collier,3.55,764569244
83,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821
84,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,764559915
85,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383
86,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,596523696
87,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,806523492
88,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363
89,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,596527314
90,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,143035002
91,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,451528611
92,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,140449175
93,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,822001837
94,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271
95,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,486437965
96,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774
97,Dinner with Anna Karenina,Gloria Goldreich,2.99,778322270
98,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252
99,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,140183957
100,The Untouchable,John Banville,3.95,679767479
